"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CERS62",1.37022688298412e-16,0.353725289031857,0.991,0.638,2.68660384946697e-12,"4","CERS6"
"ZNF5932",1.38037588748108e-16,0.505874819564588,0.44,0.225,2.70650300258415e-12,"4","ZNF593"
"P2RX21",1.40490803162255e-16,0.324248233455654,0.202,0.072,2.75460317760233e-12,"4","P2RX2"
"TAF132",1.4104311200133e-16,0.74917180353212,0.423,0.215,2.76543229701009e-12,"4","TAF13"
"PQLC32",1.41613285810725e-16,0.305775652892078,0.707,0.41,2.77661169489089e-12,"4","PQLC3"
"MEIG12",1.43219006385003e-16,0.547561100880769,0.562,0.326,2.80809505819076e-12,"4","MEIG1"
"SLC25A54",1.44115507871339e-16,0.39384745130532,0.474,0.256,2.82567276283334e-12,"4","SLC25A5"
"GDPD12",1.44422447575296e-16,0.495557274260061,0.486,0.26,2.83169092960882e-12,"4","GDPD1"
"PSMA42",1.45282360280628e-16,0.340378166439498,0.489,0.259,2.84855123802227e-12,"4","PSMA4"
"B3GALT41",1.46340424053104e-16,0.257003145820087,0.56,0.319,2.86929669440921e-12,"4","B3GALT4"
"MRPL92",1.47501046713468e-16,0.911855544260287,0.364,0.182,2.89205302291096e-12,"4","MRPL9"
"GNMT",1.49889330523346e-16,0.904445428006477,0.168,0.054,2.93888010357124e-12,"4","GNMT"
"SERPINB61",1.50129572311676e-16,0.342949183940355,0.304,0.135,2.94359052431502e-12,"4","SERPINB6"
"SEPT14",1.51473862449109e-16,0.791364990946227,0.21,0.078,2.96994802103967e-12,"4","SEPT14"
"RIPK32",1.51990502726886e-16,0.840432389893758,0.27,0.115,2.98007778696606e-12,"4","RIPK3"
"CATIP2",1.52374501087429e-16,0.620415002520614,0.423,0.22,2.98760684282121e-12,"4","CATIP"
"AGMAT2",1.53737125803888e-16,0.64705833599952,0.335,0.155,3.01432382563683e-12,"4","AGMAT"
"INTU1",1.57028826871342e-16,0.355025145879768,0.5,0.273,3.0788642084664e-12,"4","INTU"
"GLMN2",1.57639320249163e-16,0.305491098783729,0.58,0.328,3.09083415212534e-12,"4","GLMN"
"ATP5O2",1.59807509793598e-16,0.544998151443887,0.5,0.277,3.13334584452307e-12,"4","ATP5O"
"GPR1802",1.60107444989214e-16,0.412874677004444,0.605,0.343,3.13922667390352e-12,"4","GPR180"
"MAD2L22",1.61173170748301e-16,0.302448143896415,0.551,0.311,3.16012235886194e-12,"4","MAD2L2"
"EVA1B2",1.61205308635936e-16,0.801917233613393,0.284,0.123,3.1607524864248e-12,"4","EVA1B"
"SDHAF11",1.68168235159161e-16,0.378888028756039,0.469,0.253,3.29727458676567e-12,"4","SDHAF1"
"BCDIN3D2",1.73959705419282e-16,0.514099141723432,0.463,0.246,3.41082794415586e-12,"4","BCDIN3D"
"COQ72",1.77819129766851e-16,0.35619156564534,0.594,0.34,3.48649967733865e-12,"4","COQ7"
"OSM2",1.80422765814904e-16,0.599363604586411,0.435,0.227,3.53754916933282e-12,"4","OSM"
"RAD51D1",1.80674269301171e-16,0.464592313722745,0.506,0.282,3.54248039818806e-12,"4","RAD51D"
"NME62",1.81330614818405e-16,0.606319389437261,0.574,0.327,3.55534936474447e-12,"4","NME6"
"MFSD4B2",1.86848111599029e-16,0.478963406735844,0.56,0.313,3.66353092412216e-12,"4","MFSD4B"
"QPCT2",1.88239570688474e-16,0.662896135973829,0.366,0.178,3.69081326248891e-12,"4","QPCT"
"PYROXD21",1.88520574152551e-16,0.25522928997526,0.494,0.271,3.69632289740908e-12,"4","PYROXD2"
"PTPMT1",1.9179207518032e-16,0.281233659699166,0.403,0.204,3.76046721806053e-12,"4","PTPMT1"
"KDELR32",1.94886488646859e-16,0.515815188736656,0.369,0.178,3.82113938289897e-12,"4","KDELR3"
